輯冊	法鼓全輯2020紀念版書名	#	相關書刊名	出版者	出版年	典藏地	索書號 / 條碼號
01-01	明末佛教研究	1	明末佛教研究 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	BT 082.8 1666 2020 v.1 no.1
01-01	明末佛教研究	2	明末佛教研究 / 聖嚴法師著.	宗教文化, (第1版)	2006	DILA典藏(總)	
01-01	明末佛教研究	3	明末佛教研究 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
01-01	明末佛教研究	4	明末佛教研究 / 聖嚴法師著.	法鼓文化, (二版)	2000	DILA典藏(總)	
01-01	明末佛教研究	5	明末佛教研究 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
01-01	明末佛教研究	6	明末佛教研究 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
01-01	明末佛教研究	7	明末佛教研究 / 釋聖嚴著.	東初, (初版)	1987	DILA典藏(總)	
01-02	大乘止觀法門之研究	1	大乘止觀法門之研究 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-02	大乘止觀法門之研究	2	大乘止觀法門之研究 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
01-02	大乘止觀法門之研究	3	大乘止觀法門之研究 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
01-02	大乘止觀法門之研究	4	大乘止觀法門之研究 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.2
01-02	大乘止觀法門之研究	5	大乘止觀法門之研究 / (釋)聖嚴著.	東初, (二版)	1987	DILA典藏(總)	
01-02	大乘止觀法門之研究	6	大乘止觀法門之研究 / 釋聖嚴撰	中華佛教文化館,	1979		226.4 1666
01-03	戒律學綱要	1	戒律學綱要 / 聖嚴法師著.	法鼓文化, (四版)	2022	DILA典藏(總)	
01-03	戒律學綱要	2	戒律學綱要 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-03	戒律學綱要	3	戒律学綱要 / 圣严法师著.	宗教文化出版社, (第1版.)	2006	DILA典藏(總)	
01-03	戒律學綱要	4	戒律學綱要 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
01-03	戒律學綱要	5	戒律學綱要 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
01-03	戒律學綱要	6	戒律學綱要 / 聖嚴著.	佛光, (初版.)	1998	DILA典藏(總)	
01-03	戒律學綱要	7	戒律學綱要 / 聖嚴法師著.	法鼓文化, (修訂版)	1997	DILA典藏(總)	
01-03	戒律學綱要	8	戒律學綱要 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
01-03	戒律學綱要	9	戒律學綱要 / 釋聖嚴著.	東初, (十二版)	1991	DILA典藏(總)	
01-03	戒律學綱要	10	戒律學綱要 / 釋聖嚴著.	觀世音雜誌社佛經善書印送會印行,	1990	DILA典藏(總)	
01-03	戒律學綱要	11	戒律學綱要 / 釋聖嚴著.	東初, (七版)	1988	DILA典藏(總)	
01-03	戒律學綱要	12	戒律學綱要 / 釋聖嚴著.	東初, (八版)	1988	DILA典藏(總)	
01-03	戒律學綱要	13	戒律學綱要 / 釋聖嚴著.	東初, (新五版)	1986	DILA典藏(總)	
01-03	戒律學綱要	14	戒律學綱要 / 聖嚴法師著.	天華, (再版)	1978	DILA典藏(總)	
01-03	戒律學綱要	15	戒律學綱要	佛教文化服務處	1965	待尋	待尋找
01-04	比較宗教學	1	比較宗教學 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-04	比較宗教學	2	比較宗教學 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
01-04	比較宗教學	3	比較宗教學 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.4
01-04	比較宗教學	4	比較宗教學 / 釋聖嚴著.	臺灣中華, (八版)	1995	DILA典藏(總)	
01-04	比較宗教學	5	比較宗教學 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.4
01-04	比較宗教學	6	比較宗教學 / 釋聖嚴.	臺灣中華,	1989	DILA典藏(麗)	G 210 1666 1989 / 012022
01-04	比較宗教學	7	比較宗教學 / 釋聖嚴著.	熊鈍生, (五版)	1985	DILA典藏(麗)	G 210 1666 / 003498
01-04	比較宗教學	8	比較宗教學 / 釋聖嚴編著	臺灣中華書局, 四版	1982	國圖典藏	218 8748 71
01-04	比較宗教學	9	比較宗教學	臺灣中華書局, 初版	1968	台大典藏	210 1666 /  0948890
01-05	基督教之研究	1	基督教之研究 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-05	基督教之研究	2	基督教之研究 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
01-05	基督教之研究	3	基督教之研究 / 聖嚴法師著.	法鼓文化,	2000	DILA典藏(總)	B 685 1666.1
01-05	基督教之研究	4	基督教之研究 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
01-05	基督教之研究	5	基督教之研究 / 聖嚴法師.	東初, (修訂版)	1995	DILA典藏(麗)	G 240 1666
01-05	基督教之研究	6	基督教之研究 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
			基督教之研究 / 釋聖嚴著.	東初, (四版)	1992		240 2616 (81) 
01-05	基督教之研究	7	基督教之研究 / 釋聖嚴著.	久大文化, (初版)	1987	DILA典藏(麗)	G 240 1666
01-05	基督教之研究	8	基督教之研究 / 釋聖嚴著.	東初, (三版)	1986	DILA典藏(總)	B 685 1666 1986
01-05	基督教之研究	9	基督教之研究 / 釋聖嚴著	東初, 再版	1984		210 624
01-05	基督教之研究	10	基督教之研究 / ( 釋 )聖嚴撰	佛教文化服務處印行 : 覺世旬刊社出版,	1967		240 1666 
01-05	基督教之研究	11	評駁佛教與基督教的比較 / 張采薇著.	慶芳,	1956	DILA典藏(總)	
01-06	菩薩戒指要	1	菩薩戒指要 / 聖嚴法師著.	法鼓文化, (四版)	2022	DILA典藏(總)	
01-06	菩薩戒指要	2	菩薩戒指要 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
01-06	菩薩戒指要	3	菩薩戒指要 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
01-06	菩薩戒指要	4	菩薩戒指要 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
01-06	菩薩戒指要	5	菩薩戒指要 / 聖嚴法師著.	法鼓文化, (初版)	1997	DILA典藏(總)	
01-06	菩薩戒指要	6	菩薩戒指要 / 聖嚴法師著.	東初,	1996	DILA典藏(總)	
02-01	印度佛教史	1	印度佛教史 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
02-01	印度佛教史	2	印度佛教史 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
02-01	印度佛教史	3	印度佛教史 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
02-01	印度佛教史	4	印度佛教史 / 聖嚴法師著.		1997	DILA典藏(總)	
02-01	印度佛教史	5	印度暨西藏佛教 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
02-01	印度佛教史	6	世界佛教通史 / (釋) 聖嚴編著.	東初, (三版)	1985	DILA典藏(總)	
02-01	印度佛教史	7	世界佛教通史 / 釋聖嚴編著.	東初, (再版)	1983	DILA典藏(總)	
02-01	印度佛教史	8	世界佛教通史 / 釋聖嚴編	臺灣中華,	1969		220.9 1666
02-02	西藏佛教史	1	西藏佛教史 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
02-02	西藏佛教史	2	西藏佛教史 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
02-02	西藏佛教史	3	西藏佛教史 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
02-02	西藏佛教史	4	西藏佛教史 / 聖嚴法師著.	(初版)	1997	DILA典藏(總)	
02-02	西藏佛教史	5	印度暨西藏佛教 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
02-02	西藏佛教史	6	世界佛教通史 / (釋) 聖嚴編著.	東初, (三版)	1985	DILA典藏(總)	
02-02	西藏佛教史	7	世界佛教通史 / 釋聖嚴編著.	東初, (再版)	1983	DILA典藏(總)	
02-02	西藏佛教史	8	世界佛教通史 / 釋聖嚴編	臺灣中華,	1969		220.9 1666
02-03	日韓佛教史略	1	日韓佛教史略 / 聖嚴法師著.	法鼓文化, (四版)	2021	DILA典藏(總)	
02-03	日韓佛教史略	2	日韓佛教史略 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
02-03	日韓佛教史略	3	日韓佛教史略 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
02-03	日韓佛教史略	4	日韓佛教史略 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
02-03	日韓佛教史略	5	日韓佛教史略 / 聖嚴法師著.	(初版)	1997	DILA典藏(總)	
02-03	日韓佛教史略	6	日韓佛教史略 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
02-03	日韓佛教史略	7	世界佛教通史 / (釋) 聖嚴編著.	東初, (三版)	1985	DILA典藏(總)	
02-03	日韓佛教史略	8	世界佛教通史 / 釋聖嚴編著.	東初, (再版)	1983	DILA典藏(總)	
02-03	日韓佛教史略	9	世界佛教通史 / 釋聖嚴編	臺灣中華,	1969		220.9 1666
03-01	學術論考	1	學術論考 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
03-01	學術論考	2	學術論考 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	B 072.8 1666-22 2020
03-01	學術論考	3	學術論考 II 聖嚴法師著.	法鼓文化, (初版)	2005	DILA典藏(總)	
03-01	學術論考	4	學術論考 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-01	學術論考	5	學術論考 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
03-01	學術論考	6	學術論考 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
03-02	神通與人通―宗教人生	1	神通與人通 : 宗教人生 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
03-02	神通與人通―宗教人生	2	神通與人通 : 宗教人生 = Spiritual penetration and human cultivation : religion and huma	法鼓文化, (四版)	2018	DILA典藏(總)	
03-02	神通與人通―宗教人生	3	宗教与人生 / 圣严法师著.	华夏, (第1版)	2010	DILA典藏(總)	
03-02	神通與人通―宗教人生	4	神通與人通 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
03-02	神通與人通―宗教人生	5	神通與人通 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
03-02	神通與人通―宗教人生	6	神通與人通 : 宗教人生 / 聖嚴法師著.	東初, (初版)	1995	DILA典藏(總)	B 016.4 1666-2 c.2
03-02	神通與人通―宗教人生	7	宗教人生 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666
03-02	神通與人通―宗教人生	8	牧牛與尋劍 / 釋聖嚴著.	東初, (初版)	1988	DILA典藏(總)	B 072.8 1666-3
03-02	神通與人通―宗教人生	9	佛教實用法 / 聖嚴法師著	中華佛教文化館東初出版社,	1981	國圖典藏	225.07 848 70
03-02	神通與人通―宗教人生	10	佛教實用法 / 聖嚴法師著	中華佛教文化館東初出版社,	1964	存目	
03-02	神通與人通―宗教人生	11	佛教人生與宗教 / 釋聖嚴著.	覺世旬刊社,	1963	DILA典藏(總)	BT 092.28 1666-4
03-02	神通與人通―宗教人生	12	聖嚴法師文集 / 釋聖嚴著.	覺世旬刊社, (初版)	1963	DILA典藏(總)	BT 072.8 1666-14
03-02	神通與人通―宗教人生	13	佛教人生與宗教 / 釋聖嚴著.	覺世旬刊社,	1963	DILA典藏(總)	B 016.4 1666
03-03	教育．文化．文學	1	教育.文化.文學 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-03	教育．文化．文學	2	教育. 文化. 文學 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-03	教育．文化．文學	3	教育. 文化. 文學 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.14
03-03	教育．文化．文學	4	教育˙文化˙文學 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
03-04	留日見聞	1	留日見聞 / 聖嚴法師著.	法鼓文化, (初版)	2021	DILA典藏(總)	
03-04	留日見聞	2	留日見聞 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-04	留日見聞	3	留日見聞 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-04	留日見聞	4	留日見聞 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.15
03-04	留日見聞	5	留日見聞 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.13
03-04	留日見聞	6	從東洋到西洋 / 釋聖嚴著.	東初, (三版)	1990	DILA典藏(總)	B 072.8 1666-2.1 1990
03-04	留日見聞	7	從東洋到西洋 / 釋聖嚴.	東初, (再版)	1987	DILA典藏(總)	
03-04	留日見聞	8	從東洋到西洋 / 釋聖嚴著.	益友,	1979	DILA典藏(總)	B 072.8 1666-2
03-04	留日見聞	9	從東洋到西洋 / 釋聖嚴著.	東初, (初版)	1979	DILA典藏(總)	BT 072.8 1666-2.1
03-05	書序	1	書序 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-05	書序	2	書序 II 聖嚴法師著.	法鼓文化, (初版)	2005	DILA典藏(總)	
03-05	書序	3	書序 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-05	書序	4	書序 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.16
03-05	書序	5	書序.評介.勵行 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
03-05	書序	6	從東洋到西洋 / 釋聖嚴著.	東初, (三版)	1990	DILA典藏(總)	B 072.8 1666-2.1 1990
03-05	書序	7	從東洋到西洋 / 釋聖嚴.	東初, (再版)	1987	DILA典藏(總)	
03-05	書序	8	從東洋到西洋 / 釋聖嚴著.	益友,	1979	DILA典藏(總)	B 072.8 1666-2
03-05	書序	9	從東洋到西洋 / 釋聖嚴著.	東初, (初版)	1979	DILA典藏(總)	BT 072.8 1666-2.1
03-06	評介	1	評介 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-06	評介	2	評介. 勵行 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-06	評介	3	評介. 勵行 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.17
03-06	評介	4	生命中的不可不讀 :影響16位名家的一部經 / 聖嚴法師等合著	圓神, 初版	1997	台大典藏	 221.07 2585
03-06	評介	5	書序.評介.勵行 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
03-07	致詞	1	致詞 / 聖嚴法師著.	法鼓文化, (二版)	2020	DILA典藏(總)	
03-07	致詞	2	致詞 / 聖嚴法師著.	法鼓文化, (初版)	2005	DILA典藏(總)	
03-08	明日的佛教	1	明日的佛教 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-08	明日的佛教	2	明日的佛教 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-08	明日的佛教	3	明日的佛教 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.37
03-08	明日的佛教	4	明日的佛教 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
03-08	明日的佛教	5	明日的佛教 / 釋聖嚴著.	東初, (初版)	1988	DILA典藏(總)	
03-09	我的法門師友	1	我的法門師友 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-09	我的法門師友	2	悼念II / 聖嚴法師著.	法鼓文化, (初版)	2005	DILA典藏(總)	B 082.8 1666 2005 v.22
03-09	我的法門師友	3	悼念. 遊化 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	B 082.8 1666 2005 v.18
03-09	我的法門師友	4	我的法門師友 / 聖嚴法師著.	法鼓文化, (初版)	2002	DILA典藏(總)	BT 282.8 1666-3
03-09	我的法門師友	5	悼念. 遊化 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.18
03-09	我的法門師友	6	悼念. 遊化 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.15
03-10	漢藏佛學同異答問	1	漢藏佛學同異答問 / 聖嚴法師著.	法鼓文化, (三版)	2020	DILA典藏(總)	
03-10	漢藏佛學同異答問	2	漢藏佛學同異答問, 密教史 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-10	漢藏佛學同異答問	3	漢藏佛學同異答問, 密教史 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.10
03-10	漢藏佛學同異答問	4	正信佛教˙漢藏佛學 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.25
03-10	漢藏佛學同異答問	5	漢藏佛學同異答問 / 聖嚴法師, 丹增諦深喇嘛著.	東初, (初版)	1992	DILA典藏(總)	B 930.5 1666
03-11	文集	1	文集 / 聖嚴法師著.	法鼓文化, (初版)	2020	DILA典藏(總)	BT 082.8 1666 2020 v.3 no.11
03-11	文集	2	評介. 勵行 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
03-11	文集	3	52把金鑰匙 / 高清愿等著	時報文化, 初版	2003	台大典藏	192.13 5788
03-11	文集	4	評介. 勵行 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	B 082.8 1666 1999 v.17
03-11	文集	5	書序.評介.勵行 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.14
03-11	文集	9	佛教實用法 / 聖嚴法師著	中華佛教文化館東初出版社,	1981	國圖典藏	225.07 848 70
03-11	文集	10	佛教實用法 / 聖嚴法師著	中華佛教文化館東初出版社,	1964	存目	
04-01	禪門修證指要	1	禪門修證指要 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-01	禪門修證指要	2	禪門修證指要 = The essentials of practice and attainment within the gate of chan / 聖嚴	法鼓文化, (三版)	2016	DILA典藏(總)	
04-01	禪門修證指要	3	禪門修證指要 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-01	禪門修證指要	4	禪門修證指要 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-01	禪門修證指要	5	禪門修證指要 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
04-01	禪門修證指要	6	禪門修證指要 / (釋)聖嚴編著.	東初, (五版)	1990	DILA典藏(總)	BT 866.3 1666-8.1 1990
04-01	禪門修證指要	7	禪門修證指要 / (釋)聖嚴編著.	東初, (再版)	1982	DILA典藏(總)	
04-01	禪門修證指要	8	禪門修證指要 / 釋聖嚴編撰	中華佛教文化館,	1980		226.7 624
04-02	禪門驪珠集	1	禪門驪珠集 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-02	禪門驪珠集	2	禪門驪珠集 / 聖嚴法師編集.	法鼓文化, (四版)	2017	DILA典藏(總)	
04-02	禪門驪珠集	3	禪門驪珠集 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-02	禪門驪珠集	4	禪門驪珠集 / 聖嚴法師編集.	法鼓文化, (修訂版)	2003	DILA典藏(總)	
04-02	禪門驪珠集	5	禪門驪珠集 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-02	禪門驪珠集	6	禪門驪珠集 / 釋聖嚴著.	東初,	1993	DILA典藏(總)	
04-02	禪門驪珠集	7	禪門驪珠集 / 聖嚴法師編集.	東初, (二版)	1987	DILA典藏(總)	
04-02	禪門驪珠集	8	禪門驪珠集 / 釋聖嚴編集	東初, 初版	1984		226.69 1666
04-03	禪的體驗．禪的開示	1	禅的体验.禅的开示 / 圣严法师著.	法鼓文化, (初版)	2020	DILA典藏(總)	
04-03	禪的體驗．禪的開示	2	禪的體驗.禪的開示 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-03	禪的體驗．禪的開示	3	禪的體驗.禪的開示 = Discourses on the experience in chan / 聖嚴法師著.	法鼓文化, (四版)	2016	DILA典藏(總)	
04-03	禪的體驗．禪的開示	4	禅的体验 / 圣严法师着.	陜西师范大学出版社, (第一版)	2009	DILA典藏(總)	
04-03	禪的體驗．禪的開示	5	禪的體驗. 禪的開示 / 聖嚴法師著.	法鼓文化, (四版)	2005	DILA典藏(總)	
04-03	禪的體驗．禪的開示	6	禪的體驗. 禪的開示 / 聖嚴法師著.	法鼓文化, (三版)	1999	DILA典藏(總)	
04-03	禪的體驗．禪的開示	7	禪的體驗．禪的開示 / 聖嚴法師著.	東初, (修訂版三刷)	1996	DILA典藏(總)	B 866.3 1666-7 1996
04-03	禪的體驗．禪的開示	8	禪的體驗．禪的開示	修訂版	1994	ISBN書目	
04-03	禪的體驗．禪的開示	9	禪的體驗˙禪的開示 / 釋聖嚴講.	東初,	1993	DILA典藏(總)	
04-03	禪的體驗．禪的開示	10	禪的體驗 / 釋聖嚴著.	東初, (四版)	1987	DILA典藏(總)	
04-03	禪的體驗．禪的開示	11	禪的體驗 / 釋聖嚴著.	東初, (三版)	1984	DILA典藏(總)	
04-03	禪的體驗．禪的開示	12	禪的體驗 / 釋聖嚴撰	中華佛教文化館東初出版社,	1980		226.6 1666
04-04	禪的生活	1	禪的生活 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-04	禪的生活	2	禪的生活 / 聖嚴法師著.	法鼓文化, (三版)	2017	DILA典藏(總)	
04-04	禪的生活	3	禅的生活 / 圣严法师著.	江蘇文藝出版社, (第1版.)	2010	DILA典藏(總)	
04-04	禪的生活	4	禪的生活 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-04	禪的生活	5	禪的生活 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-04	禪的生活		禪的生活 / 聖嚴法師講	法鼓文化, (一版)	1998		226.6 1666-3 (87)
04-04	禪的生活	6	禪的生活 / 聖嚴法師講.	東初, (十二版)	1996	DILA典藏(總)	
04-04	禪的生活	7	禪的生活	初版	1994	ISBN書目	
04-04	禪的生活	8	禪的生活 / 釋聖嚴講.	東初,	1993	DILA典藏(總)	B 082.8 1666 v.19
04-04	禪的生活	9	禪的生活 / (釋) 聖嚴講.	東初, (三版)	1988	DILA典藏(總)	
04-04	禪的生活	10	禪的生活 / (釋) 聖嚴講.	東初, (再版)	1986	DILA典藏(總)	
04-04	禪的生活	11	禪的生活 / 釋聖嚴講.	東初出版社, (初版.)	1984	DILA典藏(總)	
04-05	拈花微笑	1	拈花微笑 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-05	拈花微笑	2	拈花微笑 / 聖嚴法師著.	法鼓文化, (四版)	2018	DILA典藏(總)	
04-05	拈花微笑	3	拈花微笑 / 圣严法师著.	上海三聯書店, (第1版.)	2006	DILA典藏(總)	
04-05	拈花微笑	4	拈花微笑 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-05	拈花微笑	5	拈花微笑 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-05	拈花微笑	6	拈花微笑 / 釋聖嚴講.	東初,	1993	DILA典藏(總)	
04-05	拈花微笑	7	拈花微笑 / (釋) 聖嚴講.	東初, (三版)	1989	DILA典藏(總)	
04-05	拈花微笑	8	拈花微笑 / (釋) 聖嚴講.	東初, (再版)	1987	DILA典藏(總)	
04-05	拈花微笑	9	拈花微笑 / 釋聖嚴講.	東初, (初版.)	1986	DILA典藏(總)	
04-06	禪與悟	1	禪與悟 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-06	禪與悟	2	禪與悟 / 聖嚴法師著.	法鼓文化, (三版)	2016	DILA典藏(總)	
04-06	禪與悟	3	禅与悟 / 圣严法师著.	上海三聯書店, (第1版.)	2006	DILA典藏(總)	
04-06	禪與悟	4	禪與悟 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
04-06	禪與悟	5	禪與悟 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
04-06	禪與悟	6	禪與悟 / 釋聖嚴講.	東初,	1993	DILA典藏(總)	
04-06	禪與悟	7	禪與悟 / 釋聖嚴著.	東初, (二版)	1991	DILA典藏(總)	B 865.8 1666-1 1991
04-06	禪與悟	8	禪與悟 / 釋聖嚴著.	東初, (初版)	1991	DILA典藏(總)	B 865.8 1666-1
04-07	心的詩偈―信心銘講錄	1	心的詩偈 : 信心銘講錄 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-07	心的詩偈―信心銘講錄	2	心的詩偈 : 信心銘講錄 = Collection of talks on faith in mind / 聖嚴法師著.	法鼓文化, (三版)	2015	DILA典藏(總)	
04-07	心的詩偈―信心銘講錄	3	信心銘講錄 / 聖嚴法師著.	法鼓文化, (二版)	2005	DILA典藏(總)	
04-07	心的詩偈―信心銘講錄	4	信心銘講錄 / 聖嚴法師著.	法鼓文化, (初版)	1999	DILA典藏(總)	
04-07	心的詩偈―信心銘講錄	5	心的詩偈 : 信心銘講錄 / 聖嚴法師.	法鼓文化,	1997	DILA典藏(總)	
04-08	禪的世界	1	禪的世界 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-08	禪的世界	2	禪的世界 / 聖嚴法師著.	法鼓文化事業股份有限公司, (四版)	2018	DILA典藏(總)	
04-08	禪的世界	3	禅的世界 / 圣严法师著.	华东师范大学出版社, (第1版)	2014	DILA典藏(總)	
04-08	禪的世界	4	禅的世界 / 圣严法师著.	上海三聯書店, (第1版.)	2006	DILA典藏(總)	
04-08	禪的世界	5	禪的世界 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-08	禪的世界	6	禪的世界 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-08	禪的世界	7	禪的世界 / 聖嚴法師著.	法鼓文化, (初版)	1998	DILA典藏(總)	B 866.3 1666-3.1 [2002]
04-08	禪的世界	8	禪的世界 / 聖嚴法師講.	東初, (初版)	1994	DILA典藏(總)	
04-09	禪鑰	1	禪鑰 / 聖嚴法師著.	法鼓文化, (五版)	2020	DILA典藏(總)	
04-09	禪鑰	2	禪鑰 / 聖嚴法師著.	法鼓文化, (四版)	2017	DILA典藏(總)	
04-09	禪鑰	3	禪鑰 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
04-09	禪鑰	4	禪鑰 / 聖嚴法師著.	法鼓文化, (二版)	1999	DILA典藏(總)	
04-09	禪鑰	5	禪鑰 / 聖嚴法師講.	東初, (初版)	1996	DILA典藏(總)	
04-10	禪門	1	禪門(大字版) / 聖嚴講 ; 果光主編.	法鼓文化, (初版)	2022	DILA典藏(總)	
04-10	禪門	2	禪門 / 聖嚴法師著.	法鼓文化, (四版)	2020	DILA典藏(總)	
04-10	禪門	3	禪門 / 聖嚴法師著.	法鼓文化, (三版)	2016	DILA典藏(總)	
04-10	禪門	4	禪門 / 聖嚴法師著.	法鼓文化, (三版)	2005	DILA典藏(總)	
